ST_B10,latitude,longitude,temperature_2m,Humidity,Wind_Speed,NDVI,NDBI,NDWI,,
43.60983962,17.37768459,78.39619942,29.86728355,47.12764728,0.770703214,0.407508007,-0.033433937,-0.432571479,,
41.75727278,17.41541383,78.53543829,29.97608364,47.0811341,0.848508279,0.548792063,-0.147288413,-0.521314242,,
41.06683274,17.39744753,78.51612451,29.97608364,47.0811341,0.848508279,0.278459028,-0.037866211,-0.304788871,,
42.91939958,17.5164743,78.43482698,29.68316739,46.75500842,0.74540959,0.164788752,0.087731372,-0.226050439,,
38.18202386,17.37498965,78.58125237,30.15452944,47.29115994,0.905859426,0.201502261,-0.072095382,-0.189964702,,
39.80558336,17.44101582,78.41191994,29.86728355,47.12764728,0.770703214,0.333367959,-0.081062871,-0.364352621,,
41.29584008,17.4571855,78.35532608,29.68316739,46.75500842,0.74540959,0.596768623,-0.151376693,-0.569675186,,
43.5722414,17.31210758,78.33241904,29.68843086,48.08804472,0.736680552,0.474421791,0.016661618,-0.496610054,,
42.9569978,17.5101861,78.42449636,29.68316739,46.75500842,0.74540959,0.281486426,-0.029674542,-0.333419592,,
44.29344362,17.41002394,78.35397861,29.86728355,47.12764728,0.770703214,0.321361983,-0.020414867,-0.335631163,,
39.03311084,17.49356726,78.55969281,29.90903685,47.45303408,0.882811497,0.172526616,-0.023742371,-0.250997385,,
43.6576919,17.54522039,78.32388504,29.72920759,46.81250449,0.654259583,0.37630577,0.000272028,-0.436653755,,
46.51515662,17.3107601,78.46357307,29.94512766,47.48671738,0.874405406,0.235250197,0.063335676,-0.291507514,,
41.83588724,17.53309314,78.41820815,29.68316739,46.75500842,0.74540959,0.261992418,0.044050994,-0.326579407,,
42.81344096,17.45314308,78.52555682,29.77357556,47.01103567,0.82392845,0.247760923,0.002054027,-0.280838287,,
42.63570392,17.31704831,78.52510767,29.94512766,47.48671738,0.874405406,0.267601234,-0.038047678,-0.321724732,,
41.6923304,17.38532027,78.31669852,29.71647553,47.550813,0.690853673,0.379561858,-0.061806547,-0.421226173,,
39.744059,17.31390421,78.40787752,29.74529462,48.0243818,0.806763646,0.373547621,-0.03614866,-0.46925442,,
45.03515396,17.26314939,78.30726621,29.68843086,48.08804472,0.736680552,0.400100962,-0.040224638,-0.458165291,,
48.02250344,17.25910697,78.53903155,29.94512766,47.48671738,0.874405406,0.307475235,0.060749145,-0.425372048,,
39.1288154,17.51108441,78.44156435,29.68316739,46.75500842,0.74540959,0.528836154,-0.108106102,-0.507024643,,
42.04780448,17.51288104,78.37284323,29.68316739,46.75500842,0.74540959,0.509233078,-0.089911795,-0.477957954,,
41.74018268,17.398795,78.59742205,30.15452944,47.29115994,0.905859426,0.411562491,0.018813859,-0.464768093,,
41.04632462,17.52366083,78.5300484,29.77357556,47.01103567,0.82392845,0.437204459,-0.025560209,-0.487670593,,
42.04096844,17.42754109,78.51612451,29.97608364,47.0811341,0.848508279,0.394904049,-0.136428746,-0.399194184,,
40.96087412,17.43832087,78.35397861,29.86728355,47.12764728,0.770703214,0.591936347,-0.19836269,-0.586581133,,
42.9057275,17.42349867,78.32074094,29.71647553,47.550813,0.690853673,0.471492914,-0.013055863,-0.500179423,,
42.45454886,17.42035457,78.45458992,29.97608364,47.0811341,0.848508279,0.437403099,-0.147682353,-0.428341768,,
31.70145794,17.52410998,78.32702915,29.72920759,46.81250449,0.654259583,0.06347978,-0.114437313,0.019728529,,
46.53908276,17.31390421,78.58664226,30.1093608,47.5164543,0.926831332,0.232008197,0.040771965,-0.30261348,,
40.09611506,17.52860156,78.55160797,29.90903685,47.45303408,0.882811497,0.486417311,-0.057585051,-0.523371847,,
42.74849858,17.43562593,78.3211901,29.71647553,47.550813,0.690853673,0.577873458,-0.147588122,-0.565400192,,
40.70452262,17.40328658,78.57765911,30.15452944,47.29115994,0.905859426,0.472934773,-0.172726036,-0.456087448,,
42.2733938,17.2514713,78.3063679,29.68843086,48.08804472,0.736680552,0.444366672,-0.120529827,-0.495035222,,
44.10545252,17.34714187,78.4303354,29.74529462,48.0243818,0.806763646,0.371060363,-0.054703344,-0.398346658,,
43.55173328,17.37948122,78.51118378,29.97608364,47.0811341,0.848508279,0.297969328,-0.082304548,-0.324999841,,
43.0424483,17.38172701,78.51118378,29.97608364,47.0811341,0.848508279,0.266926005,-0.03372777,-0.307047269,,
43.42868456,17.34130282,78.47120875,29.94512766,47.48671738,0.874405406,0.261548041,-0.022375704,-0.307537695,,
50.98592678,17.28605643,78.49411579,29.94512766,47.48671738,0.874405406,0.212932254,0.131030168,-0.352760585,,
39.15615956,17.47155854,78.45908149,29.77357556,47.01103567,0.82392845,0.343893354,-0.035899336,-0.363613544,,
41.59662584,17.45359223,78.55475207,29.90903685,47.45303408,0.882811497,0.278086459,-0.061222233,-0.29762334,,
43.16891504,17.498508,78.34409714,29.72920759,46.81250449,0.654259583,0.218971276,-0.008744729,-0.277717761,,
40.53703964,17.36690481,78.34499545,29.71647553,47.550813,0.690853673,0.69156153,-0.266459883,-0.643039067,,
48.94536884,17.29998032,78.46896296,29.94512766,47.48671738,0.874405406,0.247225202,0.074972977,-0.301513093,,
43.92429746,17.37723543,78.39260616,29.86728355,47.12764728,0.770703214,0.369187348,0.007763999,-0.428389193,,
42.2733938,17.52455914,78.49995484,29.77357556,47.01103567,0.82392845,0.250183701,0.000359056,-0.312135049,,
